PI Department,Sponsor,Year,Total
Civil & Envir Engineering,NSF,2009,304414
Civil & Envir Engineering,NSF,2012,299857
Civil & Envir Engineering,NSF,2009,217713
Civil & Envir Engineering,NSF,2010,192050
Civil & Envir Engineering,NSF,2010,157458
Civil & Envir Engineering,NSF,2010,71725
Civil & Envir Engineering,NSF,2012,558389
Civil & Envir Engineering,NSF,2012,350383
Civil & Envir Engineering,NSF,2011,344412
Civil & Envir Engineering,NSF,2013,299591
Civil & Envir Engineering,NSF,2012,286416
Civil & Envir Engineering,NSF,2012,191462
Civil & Envir Engineering,NIH,2009,969862
Civil & Envir Engineering,NIH,2011,371800
Civil & Envir Engineering,NIH,2007,75724
Civil & Envir Engineering,NIEHS,2011,72231
Civil & Envir Engineering,NIAID,2012,228377
Civil & Envir Engineering,HUD,2009,179900
Civil & Envir Engineering,EPA,2010,586203
Civil & Envir Engineering,DOD,2010,1652797
Civil & Envir Engineering,DOD,2010,830722
Civil & Envir Engineering,CIA,2013,360031
Civil & Envir Engineering,CIA,2013,360022
Civil & Envir Engineering,CBET,2007,379113
Civil & Envir Engineering,AFRL,2009,160001
Civil & Envir Engineering,Advanced Energy Consortium,2012,757593
Civil & Envir Engineering,Advanced Energy Consortium,2012,221738
Civil & Envir Engineering,Advanced Energy Consortium,2008,374243
Computer Science,NSF,2013,875045
Computer Science,NSF,2011,630000
Computer Science,NSF,2013,1241082
Computer Science,NSF,2011,499891
Computer Science,NSF,2011,975059
Computer Science,NSF,2009,967373
Computer Science,NSF,2010,899058
Computer Science,NSF,2009,572946
Computer Science,NSF,2010,497463
Computer Science,NSF,2011,493408
Computer Science,NSF,2010,472051
Computer Science,NSF,2010,349838
Computer Science,NSF,2009,301380
Computer Science,NSF,2011,54843
Computer Science,NSF,2012,1199078
Computer Science,NSF,2013,1348468
Computer Science,NSF,2012,1110081
Computer Science,NSF,2012,1021419
Computer Science,NSF,2012,654066
Computer Science,NSF,2007,691358
Computer Science,NIH,2011,1099187
Computer Science,NIH,2009,441832
Computer Science,NIH,2009,262783
Computer Science,NIH,2010,262550
Computer Science,NIH,2012,1875520
Computer Science,Draper Laboratories,2012,132000
Education - A&S,NSF,2008,1006706
Education - A&S,NSF,2012,376505
Electrical & Computer Engineer,USAF,2012,209652
Electrical & Computer Engineer,ONR,2011,856250
Electrical & Computer Engineer,NSF,2011,3646830
Electrical & Computer Engineer,NSF,2012,3498659
Electrical & Computer Engineer,NSF,2008,1986079
Electrical & Computer Engineer,NSF,2010,717303
Electrical & Computer Engineer,NSF,2011,707258
Electrical & Computer Engineer,NSF,2011,592216
Electrical & Computer Engineer,NSF,2011,471309
Electrical & Computer Engineer,NSF,2008,456791
Electrical & Computer Engineer,NSF,2012,449427
Electrical & Computer Engineer,NSF,2010,349617
Electrical & Computer Engineer,NSF,2011,305235
Electrical & Computer Engineer,NSF,2013,300053
Electrical & Computer Engineer,NSF,2011,196464
Electrical & Computer Engineer,NSF,2011,100002
Electrical & Computer Engineer,NSF,2010,25000
Electrical & Computer Engineer,NSF,2012,954532
Electrical & Computer Engineer,NSF,2012,731890
Electrical & Computer Engineer,NSF,2012,499904
Electrical & Computer Engineer,NSF,2011,499118
Electrical & Computer Engineer,NSF,2012,470574
Electrical & Computer Engineer,NSF,2012,468186
Electrical & Computer Engineer,NSF,2011,449427
Electrical & Computer Engineer,NSF,2012,415378
Electrical & Computer Engineer,NSF,2012,399991
Electrical & Computer Engineer,NIST,2012,499995
Electrical & Computer Engineer,NIH,2007,44991
Electrical & Computer Engineer,NIH,2009,1250108
Electrical & Computer Engineer,NIH,2012,433195
Electrical & Computer Engineer,NIH,2012,430565
Electrical & Computer Engineer,NIH,2012,154816
Electrical & Computer Engineer,NIEHS,2012,411918
Electrical & Computer Engineer,NIEHS,2013,452182
Electrical & Computer Engineer,NAVEODTECHDIV,2012,97970
Electrical & Computer Engineer,IARPA,2011,201237
Electrical & Computer Engineer,DOE,2011,630140
Electrical & Computer Engineer,DOE,2011,46760
Electrical & Computer Engineer,DOE,2012,302867
Electrical & Computer Engineer,DOD,2012,198905
Electrical & Computer Engineer,DOD,2009,13048
Electrical & Computer Engineer,DOD,2012,322197
Electrical & Computer Engineer,DHS,2012,59987
Electrical & Computer Engineer,DHS,2011,747999
Electrical & Computer Engineer,DARPA,2010,193861
Electrical & Computer Engineer,DARPA,2012,157063
Electrical & Computer Engineer,DARPA,2011,2484734
Electrical & Computer Engineer,DARPA,2012,888287
Electrical & Computer Engineer,DARPA,2013,634141
Electrical & Computer Engineer,Catalyst Foundation,2011,173775
Electrical & Computer Engineer,ARO,2012,36959
Geology - A&S,Boston Groundwater Trust,2008,39189
Mechanical Engineering,USAID,2012,283622
Mechanical Engineering,SRC/Sematech,2008,19900
Mechanical Engineering,NSF,2012,407765
Mechanical Engineering,NSF,2012,355589
Mechanical Engineering,NSF,2011,9865334
Mechanical Engineering,NSF,2010,3499800
Mechanical Engineering,NSF,2010,2496489
Mechanical Engineering,NSF,2009,609940
Mechanical Engineering,NSF,2008,356595
Mechanical Engineering,NSF,2009,323732
Mechanical Engineering,NSF,2010,145968
Mechanical Engineering,NSF,2009,29420
Mechanical Engineering,NSF,2011,1159821
Mechanical Engineering,NSF,2012,321920
Mechanical Engineering,NSF,2012,2844441
Mechanical Engineering,NSF,2012,599876
Mechanical Engineering,NSF,2012,449999
Mechanical Engineering,NSF,2013,325159
Mechanical Engineering,NSF,2012,43606
Mechanical Engineering,NIST,2009,467975
Mechanical Engineering,NIH,2009,1032226
Mechanical Engineering,NASA,2008,1252981
Mechanical Engineering,NASA,2009,1134882
Mechanical Engineering,NASA,2008,975044
Mechanical Engineering,NASA,2009,363579
Mechanical Engineering,FAA,2012,120000
Mechanical Engineering,Draper Laboratories,2012,114000
Mechanical Engineering,DOE,2007,15092
Mechanical Engineering,DHS,2011,428277
Mechanical Engineering,AFOSR,2011,93230
Mechanical Engineering,Advanced Diamond,2008,64521
Office of the Vice Provost,NSF,2008,2990574
Office of the Vice Provost,NSF,2012,320727
Office of the Vice Provost,NSF,2012,320701
School of Engineering,SERDP,2012,1419146
School of Engineering,SERDP,2007,5195
